	class	emotion	onomatopoeia	pitch	simile	timbre
160	lathe spinning	evoking industriousness or productivity	sounds like hum, buzz, and whir	pitch is steady, low, and rumbling	like a steady rotation of machinery	timbre is a continuous whirring and humming
161	people screaming	evoking fear, panic, or distress	sounds like shriek, yell, and wail	pitch is high, piercing, and intense	like a cacophony of panicked voices	timbre is shrill, chaotic, and distressed
162	baby crying	evoking distress, discomfort, or need for attention	sounds like waaaah, whimper, and sob	pitch is high-pitched, piercing, and variable	like a distressed and inconsolable cry	timbre is a distressed and wailing tone
163	helicopter	evoking a sense of urgency or excitement	sounds like chopper, thump, and rotor	pitch is deep, low, and rumbling	like a continuous and powerful rotation of blades	timbre is a loud and powerful whirring
164	cell phone buzzing	evoking alertness or distraction	sounds like buzz, hum, and whir	pitch is buzzing, vibrating, and medium-high	like a constant and rhythmic buzzing noise	timbre is a buzzing or vibrating sound
165	playing sitar	evoking cultural richness and contemplation	sounds like twang, buzz, and shimmer	pitch is intricate, resonant, and variable	like a mesmerizing and intricate melody with intricate ornamentation	timbre is a distinctive twang and resonance
166	cat meowing	evoking curiosity or communication	sounds like meow, purr, and hiss	pitch is high, sharp, and variable	like a vocal expression of a feline	timbre is a combination of soft and raspy tones
167	striking pool	evoking focus and precision	sounds like clack, crack, and thud	pitch is sharp, crisp, and medium	like a precise and impactful strike of the cue ball	timbre is a distinct and resonant click
168	tractor digging	evoking strength and productivity	sounds like rumble, grind, and clank	pitch is deep, rumbling, and low	like a powerful and mechanical digging motion	timbre is a heavy and mechanical rumble
169	train horning	evoking alertness or warning	sounds like honk, blare, and rumble	pitch is deep, loud, and low	like a forceful and echoing horn blast	timbre is a powerful and resonant blast
170	playing hammond organ	evoking nostalgia or a sense of depth	sounds like groan, growl, and swirl	pitch is deep, rich, and full	like a soulful and atmospheric blend of tones	timbre is warm, vibrant, and organ-like
171	mouse pattering	evoking curiosity or playfulness	sounds like pitter-patter, tiny rustling, and light tapping	pitch is light, quick, and high	like the delicate footsteps of a small creature	timbre is a soft and delicate scurrying
172	donkey, ass braying	evoking humor or annoyance	sounds like hee-haw, bray, and honk	pitch is loud, brash, and low	like a loud and distinctive call	timbre is harsh, braying, and nasal
173	people hiccup	evoking surprise or amusement	sounds like hic, hick, and hup	pitch is short, quick, and involuntary	like a quick and rhythmic interruption of breath	timbre is a sudden, involuntary, and repetitive sound
174	playing snare drum	evoking energy and rhythm	sounds like crack, snap, and rat-a-tat	pitch is sharp, crisp, and high	like a rhythmic and percussive beat	timbre is a sharp and snappy impact
175	air conditioning noise	evoking comfort or relaxation	sounds like hum, buzz, and gentle whoosh	pitch is steady, low, and constant	like a consistent and soothing background noise	timbre is a steady hum or whir
176	penguins braying	evoking communication and social interaction	sounds like honk, bray, and trumpet	pitch is deep, resonant, and low	like a chorus of deep and resonant calls	timbre is a distinctive honking or trumpeting sound
177	playing hockey	evoking competitiveness and physicality	sounds like slap, clank, and scrape	pitch is sharp, quick, and medium-high	like a fast-paced and intense exchange of hits and puck movement	timbre is a sharp and metallic impact
178	stream burbling	evoking tranquility and serenity	sounds like babble, gurgle, and trickle	pitch is gentle, soothing, and low	like a peaceful and rhythmic flow of water	timbre is a gentle and bubbling flow
179	baby laughter	evoking pure joy and happiness	sounds like giggle, chuckle, and squeal	pitch is high-pitched, joyful, and contagious	like a delightful and infectious burst of laughter	timbre is light, bubbly, and giggly
180	playing marimba, xylophone	evoking a lively and playful atmosphere	sounds like ting, plink, and resonant chimes	pitch is bright, percussive, and medium-high	like a rhythmic and percussive melody	timbre is a resonant and percussive wooden tone
181	playing tambourine	evoking liveliness and rhythm	sounds like jingle, shake, and rattle	pitch is bright, jingling, and high	like a rhythmic and shimmering cascade of jingles	timbre is metallic and percussive
182	engine accelerating, revving, vroom	evoking excitement and power	sounds like vroom, growl, and roar	pitch is deep, rumbling, and low	like a powerful and energetic engine revving up	timbre is a powerful and roaring rumble
183	singing bowl	evoking tranquility and relaxation	sounds like hum, resonate, and reverberate	pitch is deep, resonant, and low	like a soothing and meditative vibration	timbre is a sustained and harmonic hum
184	yodelling	evoking joy, celebration, or mountainous landscapes	sounds like yodel-ay-ee, hoo-hoo-hoo, and trill	pitch is high, fluctuating, and expressive	like a melodic and rhythmic vocal technique	timbre is a unique combination of vocal tones and falsetto
185	electric grinder grinding	evoking industrial or mechanical processes	sounds like whir, grind, and screech	pitch is sharp, buzzing, and high	like a continuous and harsh grinding noise	timbre is metallic, grinding, and abrasive
186	machine gun shooting	evoking tension, danger, or warfare	sounds like rat-a-tat, bang, and rapid gunfire	pitch is rapid, sharp, and high	like a rapid and intense barrage of bullets	timbre is a rapid succession of explosive bursts
187	swimming	evoking relaxation and tranquility	sounds like splash, gurgle, and swoosh	pitch is muffled, low, and gentle	like a rhythmic and soothing flow of water	timbre is a soft splashing and bubbling
188	people babbling	evoking a sense of busyness or crowdedness	sounds like murmur, babble, and buzz	pitch is varied, overlapping, and chaotic	like a chaotic and overlapping conversation	timbre is a mixture of voices, murmurs, and chatter
189	opening or closing car doors	evoking practicality and functionality	sounds like clunk, thud, and click	pitch is metallic, solid, and medium	like a firm and precise mechanical action	timbre is a sharp and mechanical click
190	electric shaver, electric razor shaving	evoking grooming or personal care	sounds like buzz, whirr, and zzz	pitch is buzzing, steady, and medium-high	like a constant and rhythmic buzzing of blades	timbre is a mechanical hum and vibration
191	fireworks banging	evoking excitement and celebration	sounds like boom, crack, and sizzle	pitch is explosive, booming, and high	like a series of explosive bursts in the sky	timbre is sharp, crackling, and reverberating
192	people giggling	evoking happiness and amusement	sounds like hehehe, teehee, and giggle	pitch is light, high-pitched, and playful	like a joyful and lighthearted expression of amusement	timbre is a soft and airy laughter
193	police car (siren)	evoking urgency and alertness	sounds like wail, whoop, and blare	pitch is piercing, high, and fluctuating	like a distinct and attention-demanding siren	timbre is a wailing, urgent, and attention-grabbing sound
194	playing djembe	evoking energy and rhythm	sounds like thump, slap, and bass	pitch is deep, resonant, and low	like a rhythmic and pulsating beat	timbre is a vibrant and earthy drumming
195	sliding door	evoking convenience or transition	sounds like whoosh, slide, and click	pitch is low, smooth, and medium	like a smooth and seamless opening or closing motion	timbre is a smooth and gliding sound
196	baltimore oriole calling	evoking tranquility and nature	sounds like flute-like notes, warble, and trill	pitch is high, clear, and melodious	like a melodic and enchanting bird song	timbre is a musical whistle with a slight trill
197	people running	evoking energy and urgency	sounds like thud, thump, and pounding footsteps	pitch is quick, rhythmic, and medium-high	like a synchronized and energetic rhythm of footsteps	timbre is a rapid and repetitive thumping
198	driving snowmobile	evoking excitement and adventure	sounds like vroom, rumble, and whir	pitch is roaring, powerful, and low	like a powerful and mechanical roar	timbre is a deep and rumbling engine noise
199	hail	evoking intensity and unpredictability	sounds like clink, clank, and pitter-patter	pitch is sharp, rapid, and high	like a rapid and chaotic barrage of small ice pellets	timbre is a sharp and percussive impact
200	sailing	evoking tranquility and serenity	sounds like flutter, splash, and creak	pitch is gentle, soothing, and low	like a gentle and rhythmic interaction with water and wind	timbre is a soft rustling and splashing
201	plastic bottle crushing	evoking a sense of destruction or impact	sounds like crunch, crack, and crumble	pitch is sharp, crackling, and high	like a sudden and forceful compression of plastic	timbre is a sharp and crinkling noise
202	typing on computer keyboard	evoking productivity and focus	sounds like click, clack, and tick	pitch is quick, sharp, and low	like a steady and repetitive tapping of keys	timbre is a rhythmic and percussive tapping
203	elephant trumpeting	evoking strength and dominance	sounds like bellow, roar, and trumpet	pitch is deep, resonant, and low	like a mighty and resonating call	timbre is powerful, resonant, and rumbling
204	goose honking	evoking alertness or surprise	sounds like honk, honk, and honk	pitch is deep, loud, and honking	like a loud and distinctive honking call	timbre is a harsh and resonant honk
205	civil defense siren	evoking urgency and alarm	sounds like wail, screech, and alarm	pitch is piercing, loud, and high	like a warning signal or emergency alert	timbre is a continuous wailing or blaring sound
206	eating with cutlery	evoking satisfaction and nourishment	sounds like clink, scrape, and clatter	pitch is soft, subtle, and low	like a rhythmic and delicate interaction with utensils and plates	timbre is a gentle clinking and scraping
207	dog bow-wow	evoking alertness or warning	sounds like woof, ruff, and arf	pitch is deep, low, and resonant	like a deep and assertive vocalization	timbre is a rough and growling bark
208	people eating crisps	evoking satisfaction or enjoyment	sounds like crunch, munch, and rustle	pitch is light, crisp, and medium	like a rhythmic and repetitive crunching sound	timbre is a crunchy and crackling texture
209	cattle, bovinae cowbell	evoking a pastoral or rural atmosphere	sounds like clang, clink, and jingle	pitch is low, resonant, and rhythmic	like a rhythmic and repetitive metallic clanging	timbre is metallic and clanging
210	skidding	evoking surprise or danger	sounds like screech, squeal, and grind	pitch is screeching, high, and abrupt	like a sudden and harsh friction against a surface	timbre is a sharp and scraping noise
211	dog barking	evoking alertness or warning	sounds like woof, arf, and growl	pitch is sharp, abrupt, and variable	like a sharp and assertive vocalization	timbre is a rough and aggressive bark
212	smoke detector beeping	evoking alertness and concern	sounds like beep, beep, beep	pitch is high-pitched, piercing, and constant	like a persistent and urgent warning signal	timbre is sharp and repetitive
213	roller coaster running	evoking excitement and fear	sounds like whoosh, rumble, and scream	pitch is exhilarating, high, and fluctuating	like a thrilling and adrenaline-pumping ride	timbre is a mix of mechanical rumbling and wind rushing
214	squishing water	evoking a sense of fluidity and wetness	sounds like squish, splash, and gurgle	pitch is low, gurgling, and fluid	like the sound of water being squeezed or manipulated	timbre is a wet and squelching sound
215	airplane flyby	evoking awe or excitement	sounds like whoosh, roar, and thunderous rumble	pitch is deep, roaring, and low	like a thunderous and powerful passage of an airplane	timbre is a powerful and rumbling roar
216	ocean burbling	evoking tranquility and relaxation	sounds like gurgle, bubble, and swish	pitch is deep, soothing, and low	like a rhythmic and calming movement of water	timbre is a gentle and bubbling flow
217	ripping paper	evoking a sense of destruction or detachment	sounds like rip, crinkle, and rustle	pitch is sharp, abrupt, and medium-high	like a sudden and jagged tearing of paper	timbre is a tearing, crinkling sound
218	firing cannon	evoking awe or shock	sounds like boom, blast, and rumble	pitch is deep, thunderous, and low	like a powerful and earth-shaking explosion	timbre is explosive, booming, and reverberating
219	alligators, crocodiles hissing	evoking fear or danger	sounds like hiss, snarl, and growl	pitch is low, deep, and menacing	like a menacing and territorial warning	timbre is a harsh, guttural, and sibilant hiss
220	people cheering	evoking joy, celebration, and encouragement	sounds like cheers, applause, and shouts of joy	pitch is enthusiastic, varied, and high	like a collective burst of excitement and support	timbre is a collective blend of voices, clapping, and cheering
221	cuckoo bird calling	evoking nature and tranquility	sounds like cuckoo, coo-coo, and coo-oo	pitch is high, repetitive, and distinct	like a rhythmic and repetitive bird call	timbre is a clear and echoing call
222	people sniggering	evoking amusement or mockery	sounds like snicker, chuckle, and snort	pitch is light, suppressed, and medium-high	like a subtle and suppressed amusement	timbre is a stifled and muffled laughter
223	playing badminton	evoking agility and competitiveness	sounds like swoosh, thwack, and shuttlecock hitting racket	pitch is quick, sharp, and medium-high	like a fast-paced and agile exchange of shots	timbre is a crisp and percussive impact
224	golf driving	evoking focus and precision	sounds like thwack, swoosh, and whoosh	pitch is sharp, crisp, and medium-high	like a powerful and precise strike of the golf club	timbre is a clean and distinct impact
225	people burping	evoking humor or surprise	sounds like burp, belch, and gurgle	pitch is low, deep, and guttural	like a sudden and involuntary release of gas	timbre is a brief, explosive release of air
226	frog croaking	evoking a sense of nature and tranquility	sounds like ribbit, croak, and grumble	pitch is deep, low, and resonant	like a deep and resonant call of a frog	timbre is a throaty and guttural croak
227	people sneezing	evoking surprise or irritation	sounds like achoo, ah-choo, and achooo	pitch is sudden, sharp, and variable	like a sudden and forceful expulsion of air	timbre is a quick burst of air and nasal resonance
228	mynah bird singing	evoking curiosity and amusement	sounds like chirp, whistle, and mimicry of human speech	pitch is varied, mimicry of different sounds	like a playful and diverse medley of sounds	timbre is clear and mimicry of various tones
229	splashing water	evoking freshness and playfulness	sounds like splash, plop, and gurgle	pitch is gentle, soft, and low	like a rhythmic and fluid movement of water	timbre is a watery, liquid sound
230	cat purring	evoking relaxation and contentment	sounds like purr, rumble, and hum	pitch is low, soothing, and gentle	like a gentle and comforting vibration	timbre is a soft and rhythmic vibration
231	rapping	evoking energy, storytelling, and self-expression	sounds like flow, rhyme, and beatboxing	pitch is rhythmic, fast, and varied	like a rhythmic and lyrical delivery of words	timbre is percussive, rhythmic, and spoken-word style
232	cattle mooing	evoking a sense of rural or farm atmosphere	sounds like moo, bellow, and lowing	pitch is low, deep, and resonant	like a deep and resonant call of the cattle	timbre is a low and rumbling bellow
233	strike lighter	evoking anticipation or illumination	sounds like flick, sizzle, and hiss	pitch is sharp, quick, and high	like a quick burst of ignition	timbre is a brief, crackling flame
234	magpie calling	evoking curiosity or alertness	sounds like chortle, caw, and trill	pitch is sharp, piercing, and medium-high	like a melodic and expressive bird call	timbre is a distinct and melodious warble
235	people eating	evoking satisfaction and nourishment	sounds like munch, slurp, and crunch	pitch is low, muffled, and occasional high-pitched sounds	like a rhythmic and varied symphony of eating sounds	timbre is a combination of chewing, swallowing, and occasional utensil clinking
236	playing vibraphone	evoking tranquility or dreaminess	sounds like ting, shimmer, and sustain	pitch is mellow, shimmering, and medium	like a delicate and ethereal cascade of notes	timbre is a metallic and resonant tone
237	bird squawking	evoking alertness or alarm	sounds like screech, caw, and squawk	pitch is sharp, piercing, and high	like a loud and piercing call	timbre is harsh and shrill
238	francolin calling	evoking a sense of nature and wilderness	sounds like krrrr, kow-kow, and krrr-krrr	pitch is deep, resonant, and medium-low	like a distinctive and rhythmic bird call	timbre is a raspy, repetitive call
239	playing mandolin	evoking a sense of folk or traditional music	sounds like pluck, strum, and trill	pitch is bright, crisp, and high	like a lively and rhythmic melody	timbre is twangy and resonant
240	lip smacking	evoking satisfaction or anticipation	sounds like smack, slurp, and pop	pitch is soft, subtle, and low	like a quick and moist contact of lips	timbre is a wet and smacking sound
241	zebra braying	evoking alertness or warning	sounds like bray, whinny, and snort	pitch is sharp, loud, and high	like a loud and distinctive call of a zebra	timbre is a harsh and piercing call
242	popping popcorn	evoking anticipation and satisfaction	sounds like pop, crackle, and sizzle	pitch is sharp, popping, and high	like a rapid and explosive burst of kernels	timbre is a rapid and explosive burst
243	disc scratching	evoking tension or edginess	sounds like screech, scrape, and grind	pitch is sharp, abrasive, and high	like a rough and abrasive manipulation of a vinyl record	timbre is a harsh, gritty, and distorted scratching noise
244	cat caterwauling	evoking discomfort or agitation	sounds like yowling, screeching, and wailing	pitch is high-pitched, piercing, and fluctuating	like a distressed and intense vocalization	timbre is a harsh, screechy, and distressed sound
245	wind rustling leaves	evoking tranquility and serenity	sounds like whisper, flutter, and sway	pitch is gentle, whispering, and low	like a gentle caress of nature	timbre is a soft and delicate rustling
246	ferret dooking	evoking curiosity and playfulness	sounds like dook-dook, chirp, and chitter	pitch is high-pitched, chirpy, and playful	like a playful and excited vocalization	timbre is a mix of squeaks and chattering
247	barn swallow calling	evoking a sense of nature and freedom	sounds like twit-twit, chit-chit, and twitter	pitch is high, chirpy, and rapid	like a rapid and melodious bird call	timbre is a melodious and twittering trill
248	volcano explosion	evoking awe and fear	sounds like boom, rumble, and crackle	pitch is deep, rumbling, and low	like a powerful and earth-shaking eruption	timbre is a thunderous and explosive roar
249	elk bugling	evoking strength and dominance	sounds like bugle, bellow, and roar	pitch is deep, resonant, and low	like a majestic and resonating call of the wild	timbre is a haunting and powerful call
250	firing muskets	evoking intensity and danger	sounds like bang, boom, and crack	pitch is sharp, explosive, and loud	like a sudden and powerful explosion	timbre is a loud and percussive blast
251	heart sounds, heartbeat	evoking calmness or a sense of life	sounds like lub-dub, lub-dub, and thump-thump	pitch is rhythmic, steady, and low	like a steady and rhythmic beat of the heart	timbre is a repetitive thump and a gentle lub-dub
252	mouse squeaking	evoking curiosity or surprise	sounds like eek, squeak, and chirp	pitch is high-pitched, sharp, and squeaky	like a tiny creature emitting a high-pitched sound	timbre is a small, thin, and delicate sound
253	playing timbales	evoking energy and rhythm	sounds like ting, ting-ting, and rimshot	pitch is sharp, metallic, and high	like a rhythmic and lively percussion performance	timbre is a bright and percussive resonance
254	telephone bell ringing	evoking urgency or attention	sounds like ring-ring, trill, and ding-dong	pitch is sharp, piercing, and medium-high	like a repetitive and distinct ringing sound	timbre is metallic and ringing
255	people slapping	evoking surprise, aggression, or playfulness	sounds like smack, thud, and clap	pitch is sharp, quick, and medium-high	like a quick and forceful contact between hands or bodies	timbre is a sharp and percussive impact
256	playing shofar	evoking spirituality or solemnity	sounds like blast, wail, and echo	pitch is deep, resonant, and low	like a powerful and ancient call	timbre is raw and primal
257	opening or closing drawers	evoking practicality or organization	sounds like creak, slide, and thud	pitch is low, creaky, and medium	like a mechanical movement of a drawer	timbre is a squeaky and wooden creak
258	chinchilla barking	evoking alertness or agitation	sounds like eek-eek, chirp-chirp, and squeak	pitch is high-pitched, sharp, and quick	like a rapid and high-pitched vocalization	timbre is a sharp and rapid chirping sound
259	people whistling	evoking cheerfulness or attention	sounds like a melodious whistle, tweet, and trill	pitch is high, clear, and piercing	like a series of melodic and rhythmic whistles	timbre is sharp and whistling
260	playing tuning fork	evoking precision and accuracy	sounds like a single, resonant hum	pitch is pure, steady, and precise	like a precise and unwavering tone	timbre is a clear and sustained tone
261	spraying water	evoking freshness or cleansing	sounds like spray, splash, and hiss	pitch is gentle, soft, and low	like a rhythmic and continuous flow of water	timbre is a splashing and hissing sound
262	bird chirping, tweeting	evoking tranquility and nature	sounds like chirp, trill, and whistle	pitch is high, melodious, and variable	like a melodic and rhythmic song	timbre is clear, crisp, and vibrant
263	train wheels squealing	evoking discomfort or annoyance	sounds like screech, squeal, and grind	pitch is high, screeching, and piercing	like a high-pitched and piercing metallic friction	timbre is sharp, metallic, and grating
264	writing on blackboard with chalk	evoking focus and concentration	sounds like screech, squeak, and scratch	pitch is sharp, scratchy, and medium-high	like a repetitive and textured scraping sound	timbre is a dry and gritty scraping
265	typing on typewriter	evoking productivity and nostalgia	sounds like clack, clack, clack	pitch is sharp, rhythmic, and medium-high	like a steady and rhythmic mechanical typing	timbre is a distinct and percussive clack
266	scuba diving	evoking tranquility and exploration	sounds like bubbles, hiss, and swish	pitch is muffled, low, and deep	like a rhythmic and immersive underwater experience	timbre is a bubbling and hissing underwater sound
267	people slurping	evoking satisfaction or indulgence	sounds like slurp, gulp, and squelch	pitch is low, wet, and slurpy	like a wet and messy sound of liquid consumption	timbre is wet, sloppy, and suction-like
268	snake rattling	evoking fear or caution	sounds like rattle, hiss, and shake	pitch is sharp, hissing, and low	like a warning signal or a dry leaf rustling	timbre is a dry and rattling noise
269	tornado roaring	evoking fear and awe	sounds like howl, rumble, and roar	pitch is deep, powerful, and low	like a ferocious and destructive force of nature	timbre is a menacing and rumbling roar
270	dog howling	evoking loneliness or longing	sounds like howl, yowl, and whine	pitch is haunting, mournful, and medium-high	like a melancholic and expressive cry	timbre is a long, drawn-out and plaintive wail
271	wind chime	evoking tranquility and serenity	sounds like ting, chime, and shimmer	pitch is delicate, high, and tinkling	like a delicate and melodic dance in the wind	timbre is ethereal and shimmering
272	cheetah chirrup	evoking alertness or communication	sounds like chirrup, chirp, and trill	pitch is high-pitched, sharp, and rapid	like a rapid and high-pitched bird-like call	timbre is a short, staccato chirping sound
273	children shouting	evoking joy, excitement, or playfulness	sounds like shriek, laughter, and chatter	pitch is high, energetic, and loud	like a chaotic and lively burst of voices	timbre is a mix of shrill voices and excited exclamations
274	playing gong	evoking a sense of power or spirituality	sounds like gong, clang, and reverberation	pitch is deep, resonant, and low	like a deep and resonant metallic explosion	timbre is metallic, reverberating, and booming
275	people humming	evoking relaxation or contentment	sounds like hmm, mmm, and a gentle buzz	pitch is soft, gentle, and medium-low	like a collective and harmonious hum	timbre is a soothing and mellow hum
276	cat hissing	evoking fear or caution	sounds like hiss, spit, and growl	pitch is sharp, intense, and low	like a warning or defensive sound	timbre is a sharp, sibilant, and aggressive
277	people gargling	evoking cleanliness or oral hygiene	sounds like gurgle, gargle, and splash	pitch is gurgling, low, and bubbling	like a bubbling and swirling liquid in the mouth	timbre is wet, bubbling, and resonant
278	snake hissing	evoking fear or caution	sounds like sssss, hiss, and a soft rattle	pitch is low, hissing, and sibilant	like a menacing and warning sound	timbre is a sharp, sustained hiss
279	blowtorch igniting	evoking intensity and heat	sounds like whoosh, sizzle, and pop	pitch is sharp, sudden, and high	like a sudden burst of flames and heat	timbre is a hissing, sizzling, and crackling
280	shot football	evoking excitement and intensity	sounds like thud, crack, and boom	pitch is sharp, explosive, and high	like a sudden and powerful release of energy	timbre is a powerful and resonant impact
281	playing darts	evoking concentration and accuracy	sounds like thud, clink, and dart hitting the board	pitch is sharp, quick, and medium-high	like a precise and focused throwing of darts	timbre is a sharp and punctuated impact
282	playing bugle	evoking a sense of patriotism or military tradition	sounds like bugle call, reveille, and taps	pitch is piercing, clear, and high	like a clear and distinct brass instrument playing military signals	timbre is brassy and bright
283	chopping wood	evoking strength and physical exertion	sounds like thud, crack, and splinter	pitch is sharp, percussive, and low	like a rhythmic and forceful chopping motion	timbre is a sharp and resonant impact
284	dinosaurs bellowing	evoking awe and fear	sounds like rumble, growl, and reverberation	pitch is deep, thunderous, and low	like a mighty and primal call	timbre is a powerful and resonant roar
285	wood thrush calling	evoking tranquility and nature	sounds like ee-oh-lay, ee-oh-lay, and trill	pitch is melodic, flute-like, and medium-high	like a melodious and enchanting song	timbre is a clear and resonant warble
286	playing zither	evoking tranquility or a sense of mystique	sounds like pluck, twang, and reverberate	pitch is ethereal, delicate, and high	like a cascading and enchanting melody	timbre is a shimmering and resonant tone
287	sea lion barking	evoking a sense of authority or dominance	sounds like arf, bark, and roar	pitch is deep, booming, and low	like a powerful and resonating call	timbre is a loud and resonant bark
288	dog baying	evoking alertness or a sense of danger	sounds like howl, bellow, and woof-woof	pitch is deep, resonant, and low	like a haunting and echoing call	timbre is a howling, mournful, and echoing
289	chipmunk chirping	evoking playfulness or curiosity	sounds like chirp-chirp, trill, and squeak	pitch is high-pitched, rapid, and chirpy	like a rapid and lively conversation	timbre is sharp and energetic
290	lions roaring	evoking strength and dominance	sounds like roar, rumble, and thunder	pitch is deep, powerful, and low	like a commanding and primal vocalization	timbre is a resonant and rumbling growl
291	striking bowling	evoking excitement and anticipation	sounds like crash, clatter, and rumble	pitch is low, deep, and resonant	like a powerful collision of ball and pins	timbre is a heavy and impactful thud
292	eagle screaming	evoking alertness or awe	sounds like screech, cry, and shriek	pitch is piercing, high, and shrill	like a piercing and powerful call	timbre is sharp, piercing, and intense
293	black capped chickadee calling	evoking a sense of nature and tranquility	sounds like chick-a-dee-dee-dee, fee-bee, and trill	pitch is high, clear, and quick	like a cheerful and lively bird call	timbre is a clear and distinct whistle
294	hedge trimmer running	evoking productivity or outdoor work	sounds like buzz, hum, and whine	pitch is sharp, buzzing, and high	like a constant and rhythmic cutting motion	timbre is a continuous whirring and vibrating noise
295	bathroom ventilation fan running	evoking a sense of cleanliness and freshness	sounds like whir, hum, and soft drone	pitch is steady, low, and constant	like a steady and continuous airflow	timbre is a consistent whirring or humming
296	sloshing water	evoking a sense of fluidity and motion	sounds like slosh, splash, and gurgle	pitch is low, gurgling, and fluid	like a rhythmic and fluid movement of water	timbre is a liquid, splashing, and bubbling sound
297	bouncing on trampoline	evoking joy and excitement	sounds like boing, sproing, and thud	pitch is bouncy, high, and playful	like a rhythmic and energetic bouncing motion	timbre is a springy and boing-like sound
298	hair dryer drying	evoking a sense of warmth and comfort	sounds like hum, whir, and whoosh	pitch is steady, constant, and medium-high	like a steady stream of warm air blowing	timbre is a whirring and buzzing noise
299	playing guiro	evoking a lively and festive atmosphere	sounds like scrape, rattle, and chika-chika	pitch is rhythmic, percussive, and medium-high	like a rhythmic and percussive pattern created by scraping a ridged surface	timbre is a scraping, raspy, and textured sound
300	cutting hair with electric trimmers	evoking grooming or salon ambiance	sounds like buzz, whir, and snip	pitch is buzzing, steady, and medium-high	like a continuous and rhythmic trimming motion	timbre is a constant and mechanical hum
301	people eating apple	evoking satisfaction and enjoyment	sounds like crunch, munch, and slurp	pitch is crisp, crunchy, and medium-high	like a rhythmic and satisfying chewing	timbre is a sharp and juicy bite
302	goat bleating	evoking curiosity or farm-like atmosphere	sounds like baa, meh, and maa	pitch is high-pitched, nasal, and variable	like a repetitive and distinctive vocalization	timbre is a distinctive, bleating sound
303	warbler chirping	evoking cheerfulness and liveliness	sounds like warble, trill, and twitter	pitch is high, melodious, and rapid	like a rapid and melodious series of notes	timbre is a clear and vibrant trill
304	bull bellowing	evoking strength and dominance	sounds like bellow, grunt, and snort	pitch is deep, powerful, and low	like a deep and thunderous roar	timbre is a resonant and rumbling roar
305	otter growling	evoking aggression or territoriality	sounds like grrr, grumble, and snarl	pitch is low, guttural, and menacing	like a low and menacing growl	timbre is a deep, throaty rumble
306	fly, housefly buzzing	evoking annoyance or irritation	sounds like buzz, whine, and zzzz	pitch is high-pitched, buzzing, and constant	like a persistent and annoying buzzing sound	timbre is a persistent and irritating hum
307	whale calling	evoking a sense of wonder and awe	sounds like moan, groan, and song-like melodies	pitch is deep, low, and resonant	like a deep and mysterious underwater symphony	timbre is haunting and ethereal
308	opening or closing car electric windows	evoking convenience and control	sounds like whirr, buzz, and click	pitch is mechanical, whirring, and medium	like a smooth and automated movement of the window	timbre is a mechanical hum and a soft click
